Event,Room,Category,Color_x,TimeSlot,Utility,Color_y,Data Value
Modern Samurai: Life in the Japanese Self-Defense Forces,"('Hynes', 'Panel 202')",Panel,#72B7ED,"['22:30', '22:45', '23:00', '23:15']",6.0,#72B7ED,48.0
Older Than VHS: Gen-X Recollections On The Early Days Of American Anime Fandom,"('Hynes', 'Panel 208')",Partner Content,#FF69B4,"['19:00', '19:15', '19:30', '19:45']",5.0,#FF69B4,61.0
One Punch Man,"('Hynes', 'Video 210')",Video,#66A3D2,"['18:00', '18:15', '18:30', '18:45', '19:00', '19:15', '19:30', '19:45']",4.0,#66A3D2,1.0
Opening Ceremonies,"('Hynes', 'Memorial Auditorium')",Family Friendly,#A64FF7,"['10:00', '10:15', '10:30', '10:45', '11:00', '11:15']",5.0,#A64FF7,56.0
Original Fan Animation,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['10:00', '10:15', '10:30', '10:45', '11:00', '11:15']",5.0,#CCFF66,32.0
Otaku University: Anime to Learn From,"('Sheraton', 'Panel Constitution B')",Panel,#72B7ED,"['17:00', '17:15', '17:30', '17:45']",6.0,#72B7ED,48.0
Our (Returning) Neighbor Kihara-san: Celebrating 40 Years of Studio Ghibli,"('Sheraton', 'Grand Ballroom')",Guest Content,#00FF00,"['12:30', '12:45', '13:00', '13:15']",5.0,#00FF00,58.0
Pokemon Gathering,"('Hynes', 'Ballroom A')",Social Gatherings,#FF3366,"['10:00', '10:15', '10:30', '10:45']",5.0,#FF3366,42.0
Pretty Cure: The Best Magical Girl Anime You've Never Heard Of,"('Hynes', 'Panel 309')",Panel,#72B7ED,"['20:30', '20:45', '21:00', '21:15']",6.0,#72B7ED,48.0
Ridiculous History: Crazy Videos from AB AMV Contests Past,"('Hynes', 'Fan Creations 312')",Video,#66A3D2,"['18:30', '18:45']",4.0,#66A3D2,1.0
Samurai Champloo Cast Reunion,"('Hynes', 'Events 302')",Anime,#FFFF00,"['15:00', '15:15', '15:30', '15:45']",4.0,#FFFF00,76.0
Samurai Troopers Ronin Warriors,"('Hynes', 'Video 210')",Video,#66A3D2,"['08:00', '08:15', '08:30', '08:45', '09:00', '09:15', '09:30', '09:45']",4.0,#66A3D2,1.0
Setsuko Hara: Japan's Most Mysterious Actress,"('Sheraton', 'Panel Gardner')",History,#CCFFCC,"['19:30', '19:45', '20:00', '20:15']",5.0,#CCFFCC,78.0
Sketchbook Swap,"('Sheraton', 'Workshop Fairfax')",Social Event|Workshop,#F7931E,"['17:30', '17:45', '18:00', '18:15', '18:30', '18:45']",,,
Slumber Party,"('Hynes', 'Ballroom A')",Family Friendly,#A64FF7,"['00:00', '00:15', '00:30', '00:45', '01:00', '01:15']",5.0,#A64FF7,56.0
So... You Want to be a Pokémon Master?,"('Hynes', 'Panel 309')",Fan Content,#FF69B4,"['17:00', '17:15', '17:30', '17:45']",5.0,#FF69B4,60.0
"Spirits, Shadows, and Legends","('Sheraton', 'Panel Constitution B')",Fan Content,#FF69B4,"['21:30', '21:45', '22:00', '22:15']",5.0,#FF69B4,60.0
SportsBalls,"('Hynes', 'Fan Creations 312')",Sports,#CCFFCC,"['22:45', '23:00', '23:15', '23:30']",4.0,#CCFFCC,80.0
Swap Meet,"('Hynes', 'Ballroom A')",Activity,#F7931E,"['20:30', '20:45', '21:00', '21:15', '21:30', '21:45', '22:00', '22:15']",5.0,#F7931E,51.0
The Great Divide,"('Hynes', 'Fan Creations 312')",Video,#66A3D2,"['11:30', '11:45']",4.0,#66A3D2,1.0
The History of Digimon in America,"('Sheraton', 'Panel Constitution A')",Panel,#72B7ED,"['10:00', '10:15', '10:30', '10:45']",6.0,#72B7ED,48.0
The Lasting Impact of the Rose of Versailles,"('Hynes', 'Panel 208')",Panel,#72B7ED,"['10:00', '10:15', '10:30', '10:45']",6.0,#72B7ED,48.0
There’s a Live Action Version?! An Intro to Anime Musicals,"('Hynes', 'Panel 208')",Panel,#72B7ED,"['11:30', '11:45', '12:00', '12:15']",6.0,#72B7ED,48.0
Throwdown,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['19:45', '20:00', '20:15', '20:30']",5.0,#CCFF66,32.0
Totally Subversive 'Toons,"('Sheraton', 'Panel Republic')",Panel,#72B7ED,"['21:00', '21:15', '21:30', '21:45', '22:00', '22:15']",6.0,#72B7ED,48.0
Touhou: The Truth behind Yokai and Gods,"('Hynes', 'Panel 207')",Gaming,#FFCC00,"['09:30', '09:45', '10:00', '10:15']",6.0,#FFCC00,74.0
Traditional Clothing in Cosplay,"('Hynes', 'Panel 202')",Fan Content,#FF69B4,"['10:30', '10:45', '11:00', '11:15']",5.0,#FF69B4,60.0
Traveling to Japan in 2025: What's Changed?,"('Hynes', 'Panel 202')",Panel,#72B7ED,"['19:30', '19:45', '20:00', '20:15']",6.0,#72B7ED,48.0
Tutu Making for Cosplay,"('Hynes', 'Panel 207')",Guest Content,#00FF00,"['15:30', '15:45', '16:00', '16:15']",5.0,#00FF00,58.0
"Um, Actually","('Hynes', 'Events 302')",Gameshow,#72B7ED,"['13:00', '13:15', '13:30', '13:45', '14:00', '14:15']",7.0,#72B7ED,13.0
Urasawa's Universe,"('Sheraton', 'Panel Constitution B')",Panel,#72B7ED,"['09:30', '09:45', '10:00', '10:15']",6.0,#72B7ED,48.0
Urusei Yatsura (Season 3),"('Hynes', 'Video 210')",Video,#66A3D2,"['20:00', '20:15', '20:30', '20:45', '21:00', '21:15', '21:30', '21:45']",4.0,#66A3D2,1.0
Visual Style of the SHAFT School,"('Hynes', 'Panel 208')",Anime,#FFFF00,"['13:00', '13:15', '13:30', '13:45']",4.0,#FFFF00,76.0
WTF AMVs,"('Hynes', 'Fan Creations 312')",Video,#66A3D2,"['14:15', '14:30', '14:45', '15:00']",4.0,#66A3D2,1.0
Weird Biology in Final Fantasy VII,"('Hynes', 'Panel 310')",Gaming,#FFCC00,"['10:30', '10:45', '11:00', '11:15']",6.0,#FFCC00,74.0
Western Animation Voice Acting and Anime Dubbing,"('Sheraton', 'Panel Constitution B')",Anime,#FFFF00,"['15:30', '15:45', '16:00', '16:15']",4.0,#FFFF00,76.0
What Show Is That!?!,"('Hynes', 'Fan Creations 312')",Video,#66A3D2,"['15:30', '15:45', '16:00', '16:15']",4.0,#66A3D2,1.0
What is happening to Anime moms???,"('Sheraton', 'Panel Constitution A')",Fan Content,#FF69B4,"['11:30', '11:45', '12:00', '12:15']",5.0,#FF69B4,60.0
Who Wants to be an Animillionaire?,"('Hynes', 'Events 302')",Partner Content,#FF69B4,"['21:00', '21:15', '21:30', '21:45', '22:00', '22:15']",5.0,#FF69B4,61.0
World Masterpiece Theater: Biggest Anime Ever,"('Hynes', 'Panel 207')",Anime,#FFFF00,"['20:00', '20:15', '20:30', '20:45']",4.0,#FFFF00,76.0
Yassify Your Cosplay Makeup,"('Sheraton', 'Panel Constitution B')",Fan Content,#FF69B4,"['11:00', '11:15', '11:30', '11:45']",5.0,#FF69B4,60.0
Your Turn to Die Trivia!,"('Hynes', 'Panel 309')",Gameshow,#72B7ED,"['09:30', '09:45', '10:00', '10:15']",7.0,#72B7ED,13.0
hololive English -Justice-,"('Sheraton', 'Panel Republic')",Guest Content,#00FF00,"['18:00', '18:15', '18:30', '18:45']",5.0,#00FF00,58.0
