Event,Utility_general_JRW,Room,Category,Color,TimeSlot
K-Pop Dance Workshop,6,"('Hynes', 'Ballroom A')",Partner Content,#FF69B4,"['12:00', '12:15', '12:30', '12:45']"
Older Than VHS: Gen-X Recollections On The Early Days Of American Anime Fandom,6,"('Hynes', 'Panel 208')",Partner Content,#FF69B4,"['19:00', '19:15', '19:30', '19:45']"
Cosplay In Character Contest - Qualifiers,6,"('Hynes', 'Ballroom B')",Stage Show,#AFE1F1,"['19:00', '19:15', '19:30', '19:45']"
AMV Sing-A-Long,6,"('Hynes', 'Fan Creations 312')",Video,#66A3D2,"['13:00', '13:15', '13:30', '13:45']"
WTF AMVs,6,"('Hynes', 'Fan Creations 312')",Video,#66A3D2,"['14:15', '14:30', '14:45', '15:00']"
What Show Is That!?!,6,"('Hynes', 'Fan Creations 312')",Video,#66A3D2,"['15:30', '15:45', '16:00', '16:15']"
Anime On Trial,6.5,"('Sheraton', 'Panel Constitution B')",Stage Show,#AFE1F1,"['12:30', '12:45', '13:00', '13:15']"
BLUE ENCOUNT & Reol Concert,7,"('Hynes', 'Memorial Auditorium')",Concert,#AFE1F1,"['20:00', '20:15', '20:30', '20:45', '21:00', '21:15', '21:30', '21:45']"
"I'm not OLD, But My Knees ARE Creaking (2005)",7,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['19:00', '19:15', '19:30']"
Anime Squares – The Ultimate Otaku Trivia Showdown!,7,"('Hynes', 'Panel 310')",Gameshow,#72B7ED,"['18:00', '18:15', '18:30', '18:45']"
Anime Jeopardy!,7,"('Hynes', 'Panel 310')",Gameshow,#72B7ED,"['19:30', '19:45', '20:00', '20:15']"
Caitlin Glass Q&A,7,"('Sheraton', 'Panel Constitution A')",Guest Content,#00FF00,"['14:30', '14:45', '15:00', '15:15']"
Who Wants to be an Animillionaire?,7,"('Hynes', 'Events 302')",Partner Content,#FF69B4,"['21:00', '21:15', '21:30', '21:45', '22:00', '22:15']"
Jam Zone: Berklee Anime Band,8,"('Sheraton', 'Panel Republic')",Music,#CCFFFF,"['13:00', '13:15', '13:30', '13:45']"
The History of Digimon in America,8,"('Sheraton', 'Panel Constitution A')",Panel,#72B7ED,"['10:00', '10:15', '10:30', '10:45']"
Sketchbook Swap,8,"('Sheraton', 'Workshop Fairfax')",Social Event|Workshop,#F7931E,"['17:30', '17:45', '18:00', '18:15', '18:30', '18:45']"
Circus Spectacular,9,"('Hynes', 'Ballroom B')",Family Friendly,#A64FF7,"['15:30', '15:45', '16:00', '16:15']"
Throwdown,9,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['19:45', '20:00', '20:15', '20:30']"
"Um, Actually",9,"('Hynes', 'Events 302')",Gameshow,#72B7ED,"['13:00', '13:15', '13:30', '13:45', '14:00', '14:15']"
A Cozy Conversation with Jill Harris & Kana Ichinose,9,"('Sheraton', 'Grand Ballroom')",Panel,#72B7ED,"['14:00', '14:15', '14:30', '14:45']"
Opening Ceremonies,9.5,"('Hynes', 'Memorial Auditorium')",Family Friendly,#A64FF7,"['10:00', '10:15', '10:30', '10:45', '11:00', '11:15']"
Original Fan Animation,10,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['10:00', '10:15', '10:30', '10:45', '11:00', '11:15']"
All the Feels,10,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['17:30', '17:45', '18:00', '18:15']"
AMV Contest,10,"('Hynes', 'Ballroom B')",Video,#66A3D2,"['21:00', '21:15', '21:30', '21:45', '22:00', '22:15', '22:30', '22:45', '23:00', '23:15']"
