Event,Utility_general_JRW,Room,Category,Color,TimeSlot
Formal Ball Dance Lessons,0,"('Hynes', 'Ballroom A')",Dance,#CCFFFF,"['15:30', '15:45', '16:00', '16:15']"
Slumber Party,0,"('Hynes', 'Ballroom A')",Family Friendly,#A64FF7,"['00:00', '00:15', '00:30', '00:45', '01:00', '01:15']"
Intro to J-horror,0,"('Hynes', 'Panel 309')",Fan Content,#FF69B4,"['01:00', '01:15', '01:30', '01:45']"
Charity Ball,0,"('Hynes', 'Ballroom A')",Social Event,#F7931E,"['16:30', '16:45', '17:00', '17:15', '17:30', '17:45', '18:00', '18:15', '18:30', '18:45', '19:00', '19:15']"
Samurai Troopers Ronin Warriors,0,"('Hynes', 'Video 210')",Video,#66A3D2,"['08:00', '08:15', '08:30', '08:45', '09:00', '09:15', '09:30', '09:45']"
Touhou: The Truth behind Yokai and Gods,1,"('Hynes', 'Panel 207')",Gaming,#FFCC00,"['09:30', '09:45', '10:00', '10:15']"
Girls Band Panel: Celebrating 10 Years of BanG Dream!,2,"('Hynes', 'Panel 202')",Anime,#FFFF00,"['15:00', '15:15', '15:30', '15:45']"
HIDIVE Presents 2.5 Dimensional Seduction Dub Special Screening Eps 1 & 2,2,"('Hynes', 'Video 210')",Anime,#FFFF00,"['16:30', '16:45', '17:00', '17:15']"
"""Make It to Fake It"" (How to Make EVA Foam Look Like Anything )",2,"('Sheraton', 'Workshop Fairfax')",Arts and Crafting|Partner Content,#CC99FF|#FF69B4,"['19:30', '19:45', '20:00', '20:15']"
How to Frankenstein a Pattern for Cosplay,2,"('Sheraton', 'Workshop Fairfax')",Cosplay,#CC99FF,"['15:30', '15:45', '16:00', '16:15', '16:30', '16:45']"
BL Bang Marry Kill,2,"('Hynes', 'Panel 207')",Fan Content,#FF69B4,"['17:00', '17:15', '17:30', '17:45']"
History of the Mecha Genre,2,"('Hynes', 'Events 302')",Fan Content,#FF69B4,"['19:30', '19:45', '20:00', '20:15']"
Fandom Obasan- 25 Years of BL fandom,2,"('Hynes', 'Panel 309')",Fan Content,#FF69B4,"['22:00', '22:15', '22:30', '22:45']"
Form and Fashion: The World of DIY and Alterations in Lolita Fashion,2,"('Hynes', 'Panel 202')",Fashion,#CC99FF,"['12:00', '12:15', '12:30', '12:45']"
Learn To Use Dance in Cosplay Photos and Performance,2,"('Hynes', 'Panel 309')",Guest Content,#00FF00,"['14:00', '14:15', '14:30', '14:45']"
Tutu Making for Cosplay,2,"('Hynes', 'Panel 207')",Guest Content,#00FF00,"['15:30', '15:45', '16:00', '16:15']"
Meet Ayamine-sensei: Behind The Feisty Omega and His Twin Mates,2,"('Sheraton', 'Panel Constitution A')",Guest Content,#00FF00,"['16:00', '16:15', '16:30', '16:45']"
25 Years Behind the Mic with Greg Ayres,2,"('Hynes', 'Events 302')",Guest Content,#00FF00,"['18:00', '18:15', '18:30', '18:45']"
Godzilla: 70 Years Strong,2,"('Hynes', 'Panel 309')",History,#CCFFCC,"['18:30', '18:45', '19:00', '19:15', '19:30', '19:45']"
A Beginner's Guide to Idol Dance,2,"('Hynes', 'Panel 309')",Idols and VTubers,#CCFFFF,"['11:00', '11:15', '11:30', '11:45']"
Idoling IRL: A Survival Guide for Beginners,2,"('Hynes', 'Panel 310')",Idols and VTubers,#CCFFFF,"['16:30', '16:45', '17:00', '17:15']"
Harlequin Manga : translating romance for Japanese readers,2,"('Sheraton', 'Panel Gardner')",Manga,#CCFF00,"['18:00', '18:15', '18:30', '18:45']"
Connecting the Borders: A ClariS Fan Panel,2,"('Sheraton', 'Panel Constitution B')",Music,#CCFFFF,"['23:00', '23:15', '23:30', '23:45']"
Lolita Fashion 101,2,"('Hynes', 'Panel 202')",Panel,#72B7ED,"['16:30', '16:45', '17:00', '17:15']"
50 Years of Black Jack,2,"('Hynes', 'Panel 208')",Panel,#72B7ED,"['17:30', '17:45', '18:00', '18:15']"
Gundam Building - Beginner,2,"('Sheraton', 'Panel Gardner')",Partner Content|Workshop,#F7931E|#FF69B4,"['13:30', '13:45', '14:00', '14:15']"
SportsBalls,2,"('Hynes', 'Fan Creations 312')",Sports,#CCFFCC,"['22:45', '23:00', '23:15', '23:30']"
Cosplay Death Match,2,"('Hynes', 'Memorial Auditorium')",Stage Show,#AFE1F1,"['13:00', '13:15', '13:30', '13:45', '14:00', '14:15', '14:30', '14:45']"
The Great Divide,2,"('Hynes', 'Fan Creations 312')",Video,#66A3D2,"['11:30', '11:45']"
LGBT and U,2,"('Hynes', 'Fan Creations 312')",Video,#66A3D2,"['16:45', '17:00', '17:15']"
Urusei Yatsura (Season 3),2,"('Hynes', 'Video 210')",Video,#66A3D2,"['20:00', '20:15', '20:30', '20:45', '21:00', '21:15', '21:30', '21:45']"
Gundam Building - Intermediate,2,"('Sheraton', 'Panel Gardner')",Workshop,#F7931E,"['15:00', '15:15', '15:30', '15:45']"
Swap Meet,3,"('Hynes', 'Ballroom A')",Activity,#F7931E,"['20:30', '20:45', '21:00', '21:15', '21:30', '21:45', '22:00', '22:15']"
Beyond Gundam: The Amazing Yoshiyuki Tomino,3,"('Hynes', 'Panel 208')",Anime,#FFFF00,"['14:30', '14:45', '15:00', '15:15']"
Samurai Champloo Cast Reunion,3,"('Hynes', 'Events 302')",Anime,#FFFF00,"['15:00', '15:15', '15:30', '15:45']"
Western Animation Voice Acting and Anime Dubbing,3,"('Sheraton', 'Panel Constitution B')",Anime,#FFFF00,"['15:30', '15:45', '16:00', '16:15']"
Japan and the World's Game: Exploring Football in Anime,3,"('Hynes', 'Panel 309')",Anime,#FFFF00,"['23:30', '23:45', '00:00', '00:15']"
Traditional Clothing in Cosplay,3,"('Hynes', 'Panel 202')",Fan Content,#FF69B4,"['10:30', '10:45', '11:00', '11:15']"
Yassify Your Cosplay Makeup,3,"('Sheraton', 'Panel Constitution B')",Fan Content,#FF69B4,"['11:00', '11:15', '11:30', '11:45']"
Manga for Teachers and Librarians,3,"('Hynes', 'Panel 202')",Fan Content,#FF69B4,"['13:30', '13:45', '14:00', '14:15']"
So... You Want to be a Pokémon Master?,3,"('Hynes', 'Panel 309')",Fan Content,#FF69B4,"['17:00', '17:15', '17:30', '17:45']"
Isekai Webtoon Market Saturation,3,"('Hynes', 'Panel 202')",Fan Content,#FF69B4,"['18:00', '18:15', '18:30', '18:45']"
"Spirits, Shadows, and Legends",3,"('Sheraton', 'Panel Constitution B')",Fan Content,#FF69B4,"['21:30', '21:45', '22:00', '22:15']"
How Do You Say Atelier? A Starter Guide to Synthesis and Story,3,"('Hynes', 'Panel 208')",Gaming,#FFCC00,"['20:30', '20:45', '21:00', '21:15']"
hololive English -Justice-,3,"('Sheraton', 'Panel Republic')",Guest Content,#00FF00,"['18:00', '18:15', '18:30', '18:45']"
Setsuko Hara: Japan's Most Mysterious Actress,3,"('Sheraton', 'Panel Gardner')",History,#CCFFCC,"['19:30', '19:45', '20:00', '20:15']"
Lunar: A Story Not Forgotten,3,"('Sheraton', 'Panel Gardner')",History,#CCFFCC,"['21:00', '21:15', '21:30', '21:45']"
"K-Pop Survival! Save One, Drop One",3,"('Hynes', 'Events 302')",Music,#CCFFFF,"['16:30', '16:45', '17:00', '17:15']"
Free Will and Determinism in Anime,3,"('Hynes', 'Panel 202')",Panel,#72B7ED,"['09:00', '09:15', '09:30', '09:45']"
From Screen to Kitchen: Adapting Existing Worlds into Recipes,3,"('Hynes', 'Panel 310')",Panel,#72B7ED,"['09:00', '09:15', '09:30', '09:45']"
The Lasting Impact of the Rose of Versailles,3,"('Hynes', 'Panel 208')",Panel,#72B7ED,"['10:00', '10:15', '10:30', '10:45']"
There’s a Live Action Version?! An Intro to Anime Musicals,3,"('Hynes', 'Panel 208')",Panel,#72B7ED,"['11:30', '11:45', '12:00', '12:15']"
K-Pop 101,3,"('Hynes', 'Panel 207')",Panel,#72B7ED,"['14:00', '14:15', '14:30', '14:45']"
Into The Sunshine: A Look Back at Aqours!,3,"('Sheraton', 'Panel Constitution A')",Panel,#72B7ED,"['17:30', '17:45', '18:00', '18:15']"
A History of the Japanese Sword,3,"('Hynes', 'Panel 310')",Partner Content,#FF69B4,"['15:00', '15:15', '15:30', '15:45']"
Enamel Pins 101: Drawing and Producing Portable Artwork,3,"('Hynes', 'Panel 202')",Partner Content,#FF69B4,"['21:00', '21:15', '21:30', '21:45']"
Lovely Complex,3,"('Hynes', 'Video 210')",Video,#66A3D2,"['14:00', '14:15', '14:30', '14:45', '15:00', '15:15', '15:30', '15:45']"
Ridiculous History: Crazy Videos from AB AMV Contests Past,3,"('Hynes', 'Fan Creations 312')",Video,#66A3D2,"['18:30', '18:45']"
Let's $ew! Dino Nuggies!,3,"('Sheraton', 'Workshop Fairfax')",Workshop,#F7931E,"['11:00', '11:15', '11:30', '11:45', '12:00', '12:15', '12:30', '12:45']"
Embracing the Uncertainty of World Building,4,"('Sheraton', 'Panel Republic')",Arts and Crafting,#CC99FF,"['19:30', '19:45', '20:00', '20:15']"
What is happening to Anime moms???,4,"('Sheraton', 'Panel Constitution A')",Fan Content,#FF69B4,"['11:30', '11:45', '12:00', '12:15']"
Manga Demographics and You,4,"('Sheraton', 'Panel Gardner')",Fan Content,#FF69B4,"['16:30', '16:45', '17:00', '17:15']"
Dark Horse: Eizouken: Before and Beyond the Anime,4,"('Hynes', 'Panel 207')",Industry Content,#55ED99,"['18:30', '18:45', '19:00', '19:15']"
Jam Zone: Sora,4,"('Sheraton', 'Panel Republic')",Music,#CCFFFF,"['09:00', '09:15', '09:30', '09:45']"
Traveling to Japan in 2025: What's Changed?,4,"('Hynes', 'Panel 202')",Panel,#72B7ED,"['19:30', '19:45', '20:00', '20:15']"
Pretty Cure: The Best Magical Girl Anime You've Never Heard Of,4,"('Hynes', 'Panel 309')",Panel,#72B7ED,"['20:30', '20:45', '21:00', '21:15']"
JET – Japanese Exchange and Teaching Program Information Session,4,"('Hynes', 'Panel 310')",Travel,#CCFFCC,"['13:30', '13:45', '14:00', '14:15']"
One Punch Man,4,"('Hynes', 'Video 210')",Video,#66A3D2,"['18:00', '18:15', '18:30', '18:45', '19:00', '19:15', '19:30', '19:45']"
Visual Style of the SHAFT School,5,"('Hynes', 'Panel 208')",Anime,#FFFF00,"['13:00', '13:15', '13:30', '13:45']"
American 'Anime' That Time Forgot,5,"('Sheraton', 'Panel Constitution B')",Anime,#FFFF00,"['18:30', '18:45', '19:00', '19:15']"
World Masterpiece Theater: Biggest Anime Ever,5,"('Hynes', 'Panel 207')",Anime,#FFFF00,"['20:00', '20:15', '20:30', '20:45']"
Let's $ew! a Ditto!,5,"('Sheraton', 'Workshop Fairfax')",Arts and Crafting,#CC99FF,"['13:00', '13:15', '13:30', '13:45', '14:00', '14:15', '14:30', '14:45']"
Con Survival: How to Make the Most Out of Cons,5,"('Hynes', 'Panel 207')",Con Culture,#00FFFF,"['11:00', '11:15', '11:30', '11:45']"
Guess That Anime,5,"('Hynes', 'Panel 309')",Fan Content,#FF69B4,"['15:30', '15:45', '16:00', '16:15']"
50% off,5,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['20:45', '21:00', '21:15', '21:30', '21:45', '22:00', '22:15', '22:30']"
Your Turn to Die Trivia!,5,"('Hynes', 'Panel 309')",Gameshow,#72B7ED,"['09:30', '09:45', '10:00', '10:15']"
Our (Returning) Neighbor Kihara-san: Celebrating 40 Years of Studio Ghibli,5,"('Sheraton', 'Grand Ballroom')",Guest Content,#00FF00,"['12:30', '12:45', '13:00', '13:15']"
Urasawa's Universe,5,"('Sheraton', 'Panel Constitution B')",Panel,#72B7ED,"['09:30', '09:45', '10:00', '10:15']"
Otaku University: Anime to Learn From,5,"('Sheraton', 'Panel Constitution B')",Panel,#72B7ED,"['17:00', '17:15', '17:30', '17:45']"
Modern Samurai: Life in the Japanese Self-Defense Forces,5,"('Hynes', 'Panel 202')",Panel,#72B7ED,"['22:30', '22:45', '23:00', '23:15']"
Pokemon Gathering,5,"('Hynes', 'Ballroom A')",Social Gatherings,#FF3366,"['10:00', '10:15', '10:30', '10:45']"
Creator Spotlight,5,"('Hynes', 'Fan Creations 312')",Video,#66A3D2,"['12:00', '12:15', '12:30', '12:45']"
AMV Genkis,5.5,"('Hynes', 'Fan Creations 312')",Family Friendly,#A64FF7,"['09:00', '09:15', '09:30', '09:45']"
Meet Yuriko Yamaguchi,5.5,"('Sheraton', 'Panel Constitution B')",Guest Content,#00FF00,"['14:00', '14:15', '14:30', '14:45']"
Totally Subversive 'Toons,5.5,"('Sheraton', 'Panel Republic')",Panel,#72B7ED,"['21:00', '21:15', '21:30', '21:45', '22:00', '22:15']"
Cosplay Bingo,6,"('Hynes', 'Events 302')",Family Friendly,#A64FF7,"['11:00', '11:15', '11:30', '11:45']"
A Look at Anime in the 90s,6,"('Hynes', 'Panel 310')",Fan Content,#FF69B4,"['12:00', '12:15', '12:30', '12:45']"
Weird Biology in Final Fantasy VII,6,"('Hynes', 'Panel 310')",Gaming,#FFCC00,"['10:30', '10:45', '11:00', '11:15']"
30 Years Ago: Anime in 1995,6,"('Hynes', 'Panel 207')",Guest Content,#00FF00,"['12:30', '12:45', '13:00', '13:15']"
Meet Kaiji Tang,6,"('Sheraton', 'Panel Constitution A')",Guest Content,#00FF00,"['13:00', '13:15', '13:30', '13:45']"
Jam Zone: Shiori Kubrick,6,"('Sheraton', 'Panel Republic')",Music,#CCFFFF,"['11:00', '11:15', '11:30', '11:45']"
Jam Zone: Off-Knowneous,6,"('Sheraton', 'Panel Republic')",Music,#CCFFFF,"['15:00', '15:15', '15:30', '15:45']"
25 Great Anime Movies you've Never Heard of,6,"('Hynes', 'Panel 208')",Panel,#72B7ED,"['16:00', '16:15', '16:30', '16:45']"
JDrama 101: Exploring the wonderful world of Japanese Dramas,6,"('Sheraton', 'Panel Constitution B')",Panel,#72B7ED,"['20:00', '20:15', '20:30', '20:45']"
