Event,Room,Utility_JW,Category,Color,TimeSlot
Anime Jeopardy! ,"('Hynes', 'Panel 310')",7.0,Gameshow,#72B7ED,"['19:30', '19:45', '20:00', '20:15']"
Anime On Trial ,"('Sheraton', 'Panel Constitution B')",6.5,Stage Show,#AFE1F1,"['12:30', '12:45', '13:00', '13:15']"
Anime Squares – The Ultimate Otaku Trivia Showdown!,"('Hynes', 'Panel 310')",7.0,Anime,#FFFF00,"['18:00', '18:15', '18:30', '18:45']"
Anime's Craziest Deaths 18+,"('Sheraton', 'Panel Constitution A')",2.0,18+,#F44336,"['22:00', '22:15', '22:30', '22:45', '23:00', '23:15']"
BL Bang Marry Kill,"('Hynes', 'Panel 207')",2.0,Panel,#72B7ED,"['17:00', '17:15', '17:30', '17:45']"
BLUE ENCOUNT & Reol Concert,"('Hynes', 'Memorial Auditorium')",9.5,Concert,#AFE1F1,"['20:00', '20:15', '20:30', '20:45', '21:00', '21:15', '21:30', '21:45']"
Beyond Gundam: The Amazing Yoshiyuki Tomino,"('Hynes', 'Panel 208')",3.0,Panel,#72B7ED,"['14:30', '14:45', '15:00', '15:15']"
Burlesque Show,"('Sheraton', 'Grand Ballroom')",2.0,After Dark,#F44336,"['16:30', '16:45', '17:00', '17:15', '17:30', '17:45', '18:00', '18:15']"
By the Blade of Knights: 20 Years of Garo ,"('Sheraton', 'Panel Constitution A')",2.0,18+,#F44336,"['19:00', '19:15', '19:30', '19:45']"
Caitlin Glass Q&A,"('Sheraton', 'Panel Constitution A')",7.0,Guest Content,#00FF00,"['14:30', '14:45', '15:00', '15:15']"
Chained Soldier (18+),"('Hynes', 'Video 210')",2.0,18+,#F44336,"['22:00', '22:15', '22:30', '22:45', '23:00', '23:15', '23:30', '23:45']"
Charity Ball,"('Hynes', 'Ballroom A')",0.0,Dance,#CCFFFF,"['16:30', '16:45', '17:00', '17:15', '17:30', '17:45', '18:00', '18:15', '18:30', '18:45', '19:00', '19:15']"
Circus Spectacular,"('Hynes', 'Ballroom B')",9.0,Partner Content,#FF69B4,"['15:30', '15:45', '16:00', '16:15']"
Con Survival: How to Make the Most Out of Cons,"('Hynes', 'Panel 207')",5.0,Fan Content,#FF69B4,"['11:00', '11:15', '11:30', '11:45']"
Connecting the Borders: A ClariS Fan Panel,"('Sheraton', 'Panel Constitution B')",2.0,Music,#CCFFFF,"['23:00', '23:15', '23:30', '23:45']"
Cosplay Bingo,"('Hynes', 'Events 302')",6.0,Cosplay,#CC99FF,"['11:00', '11:15', '11:30', '11:45']"
Cosplay Death Match,"('Hynes', 'Memorial Auditorium')",2.0,Family Friendly,#A64FF7,"['13:00', '13:15', '13:30', '13:45', '14:00', '14:15', '14:30', '14:45']"
Cosplay Horror Stories (18+),"('Hynes', 'Panel 310')",2.0,After Dark,#F44336,"['23:00', '23:15', '23:30', '23:45']"
Cosplay In Character Contest - Qualifiers,"('Hynes', 'Ballroom B')",6.0,Stage Show,#AFE1F1,"['19:00', '19:15', '19:30', '19:45']"
Creator Spotlight,"('Hynes', 'Fan Creations 312')",5.0,Fan Creations,#CCFF66,"['12:00', '12:15', '12:30', '12:45']"
DEG 201: Advanced Hentai Genres,"('Hynes', 'Panel 208')",6.25,18+,#F44336,"['23:30', '23:45', '00:00', '00:15']"
Dark Horse: Eizouken: Before and Beyond the Anime,"('Hynes', 'Panel 207')",4.0,Industry Content,#55ED99,"['18:30', '18:45', '19:00', '19:15']"
Drag Show,"('Sheraton', 'Grand Ballroom')",2.0,Stage Show,#AFE1F1,"['23:00', '23:15', '23:30', '23:45']"
Embracing the Uncertainty of World Building,"('Sheraton', 'Panel Republic')",4.0,Partner Content,#FF69B4,"['19:30', '19:45', '20:00', '20:15']"
Enamel Pins 101: Drawing and Producing Portable Artwork,"('Hynes', 'Panel 202')",3.0,Arts and Crafting,#CC99FF,"['21:00', '21:15', '21:30', '21:45']"
F-Bombs for Charity,"('Hynes', 'Fan Creations 312')",2.0,After Dark,#F44336,"['00:00', '00:15', '00:30', '00:45']"
Fandom Obasan- 25 Years of BL fandom,"('Hynes', 'Panel 309')",2.0,Fan Content,#FF69B4,"['22:00', '22:15', '22:30', '22:45']"
Fanservice & Ecchi AMVs,"('Hynes', 'Fan Creations 312')",9.0,Fan Creations,#CCFF66,"['01:00', '01:15', '01:30', '01:45']"
Form and Fashion: The World of DIY and Alterations in Lolita Fashion,"('Hynes', 'Panel 202')",2.0,Fashion,#CC99FF,"['12:00', '12:15', '12:30', '12:45']"
Formal Ball Dance Lessons,"('Hynes', 'Ballroom A')",0.0,Dance,#CCFFFF,"['15:30', '15:45', '16:00', '16:15']"
Free Will and Determinism in Anime ,"('Hynes', 'Panel 202')",3.0,Panel,#72B7ED,"['09:00', '09:15', '09:30', '09:45']"
From Screen to Kitchen: Adapting Existing Worlds into Recipes,"('Hynes', 'Panel 310')",3.0,Food,#FFCCFF,"['09:00', '09:15', '09:30', '09:45']"
Girls Band Panel: Celebrating 10 Years of BanG Dream!,"('Hynes', 'Panel 202')",2.0,Fan Content,#FF69B4,"['15:00', '15:15', '15:30', '15:45']"
Godzilla: 70 Years Strong,"('Hynes', 'Panel 309')",2.0,History,#CCFFCC,"['18:30', '18:45', '19:00', '19:15', '19:30', '19:45']"
Guess That Anime,"('Hynes', 'Panel 309')",5.0,Fan Content,#FF69B4,"['15:30', '15:45', '16:00', '16:15']"
Gullwings or Dullwings? The Ultimate Final Fantasy X-2 Costume Showdow,"('Sheraton', 'Panel Republic')",4.0,Fan Content,#FF69B4,"['23:00', '23:15', '23:30', '23:45']"
Gundam Building - Beginner,"('Sheraton', 'Panel Gardner')",4.0,Arts and Crafting|Partner Content|Workshop,#CC99FF|#F7931E|#FF69B4,"['13:30', '13:45', '14:00', '14:15']"
Gundam Building - Intermediate,"('Sheraton', 'Panel Gardner')",4.0,Arts and Crafting|Workshop,#CC99FF|#F7931E,"['15:00', '15:15', '15:30', '15:45']"
HIDIVE Presents 2.5 Dimensional Seduction Dub Special Screening Eps 1 & 2 ,"('Hynes', 'Video 210')",2.0,Video,#66A3D2,"['16:30', '16:45', '17:00', '17:15']"
HIDIVE Presents Sword of the Demon Hunter Dub World Premiere Episode 1 ,"('Hynes', 'Video 210')",4.0,Video,#66A3D2,"['12:30', '12:45', '13:00', '13:15']"
Harlequin Manga : translating romance for Japanese readers,"('Sheraton', 'Panel Gardner')",2.0,Manga,#CCFF00,"['18:00', '18:15', '18:30', '18:45']"
"Hentai by Women, for Women: An Intro to Josei Smut","('Hynes', 'Panel 208')",5.0,Panel,#72B7ED,"['22:00', '22:15', '22:30', '22:45']"
History of the Mecha Genre,"('Hynes', 'Events 302')",2.0,History,#CCFFCC,"['19:30', '19:45', '20:00', '20:15']"
How Do You Say Atelier? A Starter Guide to Synthesis and Story,"('Hynes', 'Panel 208')",3.0,Gaming,#FFCC00,"['20:30', '20:45', '21:00', '21:15']"
How to Frankenstein a Pattern for Cosplay,"('Sheraton', 'Workshop Fairfax')",2.0,Cosplay,#CC99FF,"['15:30', '15:45', '16:00', '16:15', '16:30', '16:45']"
"I'm not OLD, But My Knees ARE Creaking (2005)","('Hynes', 'Fan Creations 312')",7.0,Fan Creations,#CCFF66,"['19:00', '19:15', '19:30']"
ID Check Seating,"('Hynes', 'Events 302')",0.0,ID Check|Seating,#999999|#CCCCCC,"['23:00', '23:15']"
ID Check Seating,"('Hynes', 'Fan Creations 312')",0.0,ID Check|Seating,#999999|#CCCCCC,['23:45']
ID Check Seating,"('Hynes', 'Maid Cafe')",0.0,ID Check|Seating,#999999|#CCCCCC,"['18:30', '18:45']"
ID Check Seating,"('Hynes', 'Panel 207')",0.0,ID Check|Seating,#999999|#CCCCCC,"['21:00', '21:15', '22:30', '22:45']"
ID Check Seating,"('Hynes', 'Panel 208')",0.0,ID Check|Seating,#999999|#CCCCCC,"['21:30', '21:45', '23:00', '23:15']"
ID Check Seating,"('Hynes', 'Panel 310')",0.0,ID Check|Seating,#999999|#CCCCCC,"['20:30', '20:45', '22:30', '22:45', '00:00', '00:15']"
ID Check Seating,"('Hynes', 'Social 110')",0.0,ID Check|Seating,#999999|#CCCCCC,"['13:00', '13:15', '14:30', '14:45', '19:00', '19:15', '20:30', '20:45']"
ID Check Seating,"('Hynes', 'Social 111')",0.0,ID Check|Seating,#999999|#CCCCCC,"['13:30', '13:45', '15:00', '15:15', '19:30', '19:45', '21:00', '21:15']"
ID Check Seating,"('Sheraton', 'Grand Ballroom')",0.0,ID Check|Seating,#999999|#CCCCCC,"['16:00', '16:15', '19:30', '19:45', '22:30', '22:45']"
ID Check Seating,"('Sheraton', 'Panel Constitution A')",0.0,ID Check|Seating,#999999|#CCCCCC,"['18:30', '18:45', '20:00', '20:15', '21:30', '21:45']"
ID Check Seating,"('Sheraton', 'Panel Republic')",0.0,ID Check|Seating,#999999|#CCCCCC,"['22:30', '22:45']"
ID Check Seating,"('Sheraton', 'Workshop Fairfax')",0.0,ID Check|Seating,#999999|#CCCCCC,"['21:00', '21:15']"
Idoling IRL: A Survival Guide for Beginners,"('Hynes', 'Panel 310')",2.0,Idols and VTubers,#CCFFFF,"['16:30', '16:45', '17:00', '17:15']"
Into The Sunshine: A Look Back at Aqours!,"('Sheraton', 'Panel Constitution A')",3.0,Idols and VTubers,#CCFFFF,"['17:30', '17:45', '18:00', '18:15']"
Intro to J-horror,"('Hynes', 'Panel 309')",2.0,Fan Content,#FF69B4,"['01:00', '01:15', '01:30', '01:45']"
Isekai Webtoon Market Saturation,"('Hynes', 'Panel 202')",3.0,Panel,#72B7ED,"['18:00', '18:15', '18:30', '18:45']"
JDrama 101: Exploring the wonderful world of Japanese Dramas,"('Sheraton', 'Panel Constitution B')",6.0,Panel,#72B7ED,"['20:00', '20:15', '20:30', '20:45']"
JET – Japanese Exchange and Teaching Program Information Session,"('Hynes', 'Panel 310')",5.0,Travel,#CCFFCC,"['13:30', '13:45', '14:00', '14:15']"
Jam Zone: Berklee Anime Band,"('Sheraton', 'Panel Republic')",8.0,Music,#CCFFFF,"['13:00', '13:15', '13:30', '13:45']"
Jam Zone: Off-Knowneous,"('Sheraton', 'Panel Republic')",6.0,Music,#CCFFFF,"['15:00', '15:15', '15:30', '15:45']"
Jam Zone: Shiori Kubrick,"('Sheraton', 'Panel Republic')",6.0,Music,#CCFFFF,"['11:00', '11:15', '11:30', '11:45']"
Jam Zone: Sora,"('Sheraton', 'Panel Republic')",4.0,Music,#CCFFFF,"['09:00', '09:15', '09:30', '09:45']"
Japan and the World's Game: Exploring Football in Anime,"('Hynes', 'Panel 309')",3.0,Sports,#CCFFCC,"['23:30', '23:45', '00:00', '00:15']"
K-Pop 101,"('Hynes', 'Panel 207')",3.0,Panel,#72B7ED,"['14:00', '14:15', '14:30', '14:45']"
K-Pop Dance Workshop,"('Hynes', 'Ballroom A')",6.0,Partner Content,#FF69B4,"['12:00', '12:15', '12:30', '12:45']"
"K-Pop Survival! Save One, Drop One","('Hynes', 'Events 302')",3.0,Gameshow,#72B7ED,"['16:30', '16:45', '17:00', '17:15']"
Kings 21+ Lounge,"('Kings', 'Kings')",2.0,Social Event,#F7931E,"['18:00', '18:15', '18:30', '18:45', '19:00', '19:15', '19:30', '19:45', '20:00', '20:15', '20:30', '20:45']"
LGBT and U,"('Hynes', 'Fan Creations 312')",2.0,Fan Creations,#CCFF66,"['16:45', '17:00', '17:15']"
Learn To Use Dance in Cosplay Photos and Performance,"('Hynes', 'Panel 309')",2.0,Cosplay,#CC99FF,"['14:00', '14:15', '14:30', '14:45']"
Let's $ew! Dino Nuggies!,"('Sheraton', 'Workshop Fairfax')",3.0,Workshop,#F7931E,"['11:00', '11:15', '11:30', '11:45', '12:00', '12:15', '12:30', '12:45']"
Let's $ew! a Ditto!,"('Sheraton', 'Workshop Fairfax')",5.0,Arts and Crafting,#CC99FF,"['13:00', '13:15', '13:30', '13:45', '14:00', '14:15', '14:30', '14:45']"
Lolita Fashion 101,"('Hynes', 'Panel 202')",2.0,Panel,#72B7ED,"['16:30', '16:45', '17:00', '17:15']"
"Lolita Hell: The Bad, the Cringe, and the Ita","('Hynes', 'Panel 207')",2.0,After Dark,#F44336,"['21:30', '21:45', '22:00', '22:15']"
Lovely Complex,"('Hynes', 'Video 210')",3.0,Video,#66A3D2,"['14:00', '14:15', '14:30', '14:45', '15:00', '15:15', '15:30', '15:45']"
Lunar: A Story Not Forgotten,"('Sheraton', 'Panel Gardner')",3.0,Panel,#72B7ED,"['21:00', '21:15', '21:30', '21:45']"
Manga Demographics and You,"('Sheraton', 'Panel Gardner')",4.0,Fan Content,#FF69B4,"['16:30', '16:45', '17:00', '17:15']"
Manga for Teachers and Librarians,"('Hynes', 'Panel 202')",3.0,Fan Content,#FF69B4,"['13:30', '13:45', '14:00', '14:15']"
Meet Ayamine-sensei: Behind The Feisty Omega and His Twin Mates,"('Sheraton', 'Panel Constitution A')",2.0,Guest Content,#00FF00,"['16:00', '16:15', '16:30', '16:45']"
Meet Kaiji Tang,"('Sheraton', 'Panel Constitution A')",6.0,Guest Content,#00FF00,"['13:00', '13:15', '13:30', '13:45']"
Meet Yuriko Yamaguchi,"('Sheraton', 'Panel Constitution B')",5.5,Guest Content,#00FF00,"['14:00', '14:15', '14:30', '14:45']"
Modern Samurai: Life in the Japanese Self-Defense Forces,"('Hynes', 'Panel 202')",5.0,Fan Content,#FF69B4,"['22:30', '22:45', '23:00', '23:15']"
My Teenage Romantic Comedy SNAFU,"('Hynes', 'Video 210')",4.0,Video,#66A3D2,"['10:00', '10:15', '10:30', '10:45', '11:00', '11:15', '11:30', '11:45']"
Older Than VHS: Gen-X Recollections On The Early Days Of American Anime Fandom,"('Hynes', 'Panel 208')",6.0,Partner Content,#FF69B4,"['19:00', '19:15', '19:30', '19:45']"
One Punch Man,"('Hynes', 'Video 210')",4.0,Video,#66A3D2,"['18:00', '18:15', '18:30', '18:45', '19:00', '19:15', '19:30', '19:45']"
Opening Ceremonies,"('Hynes', 'Memorial Auditorium')",9.5,Stage Show,#AFE1F1,"['10:00', '10:15', '10:30', '10:45', '11:00', '11:15']"
Original Fan Animation,"('Hynes', 'Fan Creations 312')",10.0,Fan Creations,#CCFF66,"['10:00', '10:15', '10:30', '10:45', '11:00', '11:15']"
Otaku University: Anime to Learn From,"('Sheraton', 'Panel Constitution B')",5.0,Anime,#FFFF00,"['17:00', '17:15', '17:30', '17:45']"
Our (Returning) Neighbor Kihara-san: Celebrating 40 Years of Studio Ghibli,"('Sheraton', 'Grand Ballroom')",5.0,Guest Content,#00FF00,"['12:30', '12:45', '13:00', '13:15']"
Pastie Making 101,"('Sheraton', 'Workshop Fairfax')",5.0,Workshop,#F7931E,"['21:30', '21:45', '22:00', '22:15', '22:30', '22:45']"
Pokemon Gathering,"('Hynes', 'Ballroom A')",5.0,Social Gatherings,#FF3366,"['10:00', '10:15', '10:30', '10:45']"
Pretty Cure: The Best Magical Girl Anime You've Never Heard Of,"('Hynes', 'Panel 309')",4.0,Fan Content,#FF69B4,"['20:30', '20:45', '21:00', '21:15']"
Pyramid Head Has a Point: Feminine Horror in Silent Hill,"('Hynes', 'Panel 310')",4.0,Panel,#72B7ED,"['00:30', '00:45', '01:00', '01:15']"
Ridiculous History: Crazy Videos from AB AMV Contests Past,"('Hynes', 'Fan Creations 312')",3.0,Fan Creations,#CCFF66,"['18:30', '18:45']"
Samurai Champloo Cast Reunion,"('Hynes', 'Events 302')",3.0,Panel,#72B7ED,"['15:00', '15:15', '15:30', '15:45']"
Samurai Troopers Ronin Warriors,"('Hynes', 'Video 210')",2.0,Video,#66A3D2,"['08:00', '08:15', '08:30', '08:45', '09:00', '09:15', '09:30', '09:45']"
Setsuko Hara: Japan's Most Mysterious Actress,"('Sheraton', 'Panel Gardner')",3.0,Panel,#72B7ED,"['19:30', '19:45', '20:00', '20:15']"
Sketchbook Swap,"('Sheraton', 'Workshop Fairfax')",6.5,Social Event|Workshop,#F7931E,"['17:30', '17:45', '18:00', '18:15', '18:30', '18:45']"
Slumber Party,"('Hynes', 'Ballroom A')",0.0,Family Friendly|Social Event,#A64FF7|#F7931E,"['00:00', '00:15', '00:30', '00:45', '01:00', '01:15']"
So... You Want to be a Pokémon Master?,"('Hynes', 'Panel 309')",3.0,Gameshow,#72B7ED,"['17:00', '17:15', '17:30', '17:45']"
Speed Friending,"('Hynes', 'Social 110')",5.5,Social Event|18+,#F7931E|#F44336,"['13:30', '13:45', '14:00', '14:15', '15:00', '15:15', '15:30', '15:45', '19:30', '19:45', '20:00', '20:15', '21:00', '21:15', '21:30', '21:45']"
Speed Friending,"('Hynes', 'Social 111')",5.5,Social Event|18+,#F7931E|#F44336,"['14:00', '14:15', '14:30', '14:45', '15:30', '15:45', '16:00', '16:15', '20:00', '20:15', '20:30', '20:45', '21:30', '21:45', '22:00', '22:15']"
"Spirits, Shadows, and Legends","('Sheraton', 'Panel Constitution B')",3.0,Panel,#72B7ED,"['21:30', '21:45', '22:00', '22:15']"
SportsBalls,"('Hynes', 'Fan Creations 312')",2.0,Video,#66A3D2,"['22:45', '23:00', '23:15', '23:30']"
Swap Meet,"('Hynes', 'Ballroom A')",5.0,Activity,#F7931E,"['20:30', '20:45', '21:00', '21:15', '21:30', '21:45', '22:00', '22:15']"
Taskmaster,"('Hynes', 'Events 302')",5.0,18+,#F44336,"['23:30', '23:45', '00:00', '00:15', '00:30', '00:45', '01:00', '01:15', '01:30', '01:45']"
The Great Divide,"('Hynes', 'Fan Creations 312')",2.0,Video,#66A3D2,"['11:30', '11:45']"
The History of Digimon in America,"('Sheraton', 'Panel Constitution A')",8.0,Fan Content,#FF69B4,"['10:00', '10:15', '10:30', '10:45']"
The Lasting Impact of the Rose of Versailles,"('Hynes', 'Panel 208')",3.0,Anime,#FFFF00,"['10:00', '10:15', '10:30', '10:45']"
There’s a Live Action Version?! An Intro to Anime Musicals,"('Hynes', 'Panel 208')",3.0,Panel,#72B7ED,"['11:30', '11:45', '12:00', '12:15']"
Throwdown,"('Hynes', 'Fan Creations 312')",9.0,Video,#66A3D2,"['19:45', '20:00', '20:15', '20:30']"
Totally Subversive 'Toons,"('Sheraton', 'Panel Republic')",5.5,Panel,#72B7ED,"['21:00', '21:15', '21:30', '21:45', '22:00', '22:15']"
Touhou: The Truth behind Yokai and Gods,"('Hynes', 'Panel 207')",2.0,Gaming,#FFCC00,"['09:30', '09:45', '10:00', '10:15']"
Traditional Clothing in Cosplay,"('Hynes', 'Panel 202')",3.0,Fan Content,#FF69B4,"['10:30', '10:45', '11:00', '11:15']"
Traveling to Japan in 2025: What's Changed?,"('Hynes', 'Panel 202')",4.0,Panel,#72B7ED,"['19:30', '19:45', '20:00', '20:15']"
Tutu Making for Cosplay,"('Hynes', 'Panel 207')",2.0,Guest Content,#00FF00,"['15:30', '15:45', '16:00', '16:15']"
"Um, Actually","('Hynes', 'Events 302')",9.0,Gameshow,#72B7ED,"['13:00', '13:15', '13:30', '13:45', '14:00', '14:15']"
Urasawa's Universe ,"('Sheraton', 'Panel Constitution B')",5.0,Manga,#CCFF00,"['09:30', '09:45', '10:00', '10:15']"
Urusei Yatsura (Season 3),"('Hynes', 'Video 210')",2.0,Video,#66A3D2,"['20:00', '20:15', '20:30', '20:45', '21:00', '21:15', '21:30', '21:45']"
Visual Style of the SHAFT School,"('Hynes', 'Panel 208')",5.0,Anime,#FFFF00,"['13:00', '13:15', '13:30', '13:45']"
WTF AMVs,"('Hynes', 'Fan Creations 312')",6.0,Video,#66A3D2,"['14:15', '14:30', '14:45', '15:00']"
Weird Biology in Final Fantasy VII,"('Hynes', 'Panel 310')",5.0,Panel,#72B7ED,"['10:30', '10:45', '11:00', '11:15']"
Western Animation Voice Acting and Anime Dubbing,"('Sheraton', 'Panel Constitution B')",3.0,Guest Content,#00FF00,"['15:30', '15:45', '16:00', '16:15']"
What Show Is That!?!,"('Hynes', 'Fan Creations 312')",6.0,Video,#66A3D2,"['15:30', '15:45', '16:00', '16:15']"
What is happening to Anime moms???,"('Sheraton', 'Panel Constitution A')",4.0,Panel,#72B7ED,"['11:30', '11:45', '12:00', '12:15']"
Who Wants to be an Animillionaire?,"('Hynes', 'Events 302')",7.0,Partner Content,#FF69B4,"['21:00', '21:15', '21:30', '21:45', '22:00', '22:15']"
World Masterpiece Theater: Biggest Anime Ever,"('Hynes', 'Panel 207')",5.0,Panel,#72B7ED,"['20:00', '20:15', '20:30', '20:45']"
Yaoi Madlibs,"('Hynes', 'Panel 310')",2.0,Panel,#72B7ED,"['21:00', '21:15', '21:30', '21:45', '22:00', '22:15']"
Yassify Your Cosplay Makeup,"('Sheraton', 'Panel Constitution B')",3.0,Fan Content,#FF69B4,"['11:00', '11:15', '11:30', '11:45']"
Yes You CAD: Intro to Computer Aided Design / 3D Modeling,"('Hynes', 'Panel 309')",2.0,Cosplay,#CC99FF,"['12:30', '12:45', '13:00', '13:15']"
"Yoko Taro-verse: Sex, Death, and Violence","('Sheraton', 'Panel Constitution A')",7.0,Fan Content,#FF69B4,"['20:30', '20:45', '21:00', '21:15']"
Your Turn to Die Trivia!,"('Hynes', 'Panel 309')",5.0,Gaming,#FFCC00,"['09:30', '09:45', '10:00', '10:15']"
hololive English -Justice-,"('Sheraton', 'Panel Republic')",3.0,Idols and VTubers,#CCFFFF,"['18:00', '18:15', '18:30', '18:45']"
