Event,Room,Utility_JW,Category,Color,TimeSlot
"""Make It to Fake It"" (How to Make EVA Foam Look Like Anything)","('Sheraton', 'Workshop Fairfax')",4.0,Arts and Crafting|Cosplay,#CC99FF,"['19:30', '19:45', '20:00', '20:15']"
25 Great Anime Movies You've Never Heard of,"('Hynes', 'Panel 208')",6.0,Panel,#72B7ED,"['16:00', '16:15', '16:30', '16:45']"
25 Years Behind the Mic with Greg Ayres,"('Hynes', 'Events 302')",2.0,Guest Content,#00FF00,"['18:00', '18:15', '18:30', '18:45']"
30 Years Ago: Anime in 1995,"('Hynes', 'Panel 207')",6.0,Guest Content,#00FF00,"['12:30', '12:45', '13:00', '13:15']"
50 Years of Black Jack,"('Hynes', 'Panel 208')",2.0,Panel,#72B7ED,"['17:30', '17:45', '18:00', '18:15']"
50% Off,"('Hynes', 'Fan Creations 312')",5.0,Fan Creations,#CCFF66,"['20:45', '21:00', '21:15', '21:30', '21:45', '22:00', '22:15', '22:30']"
A Beginner's Guide to Idol Dance,"('Hynes', 'Panel 309')",2.0,Panel,#72B7ED,"['11:00', '11:15', '11:30', '11:45']"
A Cozy Conversation with Jill Harris & Kana Ichinose,"('Sheraton', 'Grand Ballroom')",9.0,Guest Content,#00FF00,"['14:00', '14:15', '14:30', '14:45']"
A History of the Japanese Sword,"('Hynes', 'Panel 310')",3.0,Arts and Crafting,#CC99FF,"['15:00', '15:15', '15:30', '15:45']"
A Look at Anime in the 90s,"('Hynes', 'Panel 310')",6.0,Anime,#FFFF00,"['12:00', '12:15', '12:30', '12:45']"
A Sophisticatedly Unsophisticated Look At Fan Service 18+,"('Hynes', 'Panel 207')",7.0,Panel,#72B7ED,"['23:00', '23:15', '23:30', '23:45']"
AMV Contest,"('Hynes', 'Ballroom B')",10.0,Fan Creations|Video,#66A3D2|#CCFF66,"['21:00', '21:15', '21:30', '21:45', '22:00', '22:15', '22:30', '22:45', '23:00', '23:15']"
AMV Genkis,"('Hynes', 'Fan Creations 312')",5.5,Fan Creations,#CCFF66,"['09:00', '09:15', '09:30', '09:45']"
AMV Sing-A-Long,"('Hynes', 'Fan Creations 312')",6.0,Video,#66A3D2,"['13:00', '13:15', '13:30', '13:45']"
After Dark Dating Game,"('Sheraton', 'Grand Ballroom')",2.0,After Dark,#F44336,"['20:00', '20:15', '20:30', '20:45', '21:00', '21:15', '21:30', '21:45']"
All the Feels,"('Hynes', 'Fan Creations 312')",10.0,Fan Creations,#CCFF66,"['17:30', '17:45', '18:00', '18:15']"
American 'Anime' That Time Forgot,"('Sheraton', 'Panel Constitution B')",5.0,Fan Content,#FF69B4,"['18:30', '18:45', '19:00', '19:15']"
