Event,Utility_general_JRW,Room,Category,Color,TimeSlot
Anime in Hollywood,7.5,"('Hynes', 'Panel 208')",Guest Content,#00FF00,"['19:00', '19:15', '19:30', '19:45']"
Husbandos and Himbos: Otome Games and You!,7.5,"('Hynes', 'Panel 202')",Panel,#72B7ED,"['12:00', '12:15', '12:30', '12:45']"
"Japanese Commercials to Make You Laugh, Cry, and Think",8,"('Sheraton', 'Panel Constitution B')",Fan Content,#FF69B4,"['16:30', '16:45', '17:00', '17:15']"
Family Feud,8,"('Hynes', 'Events 302')",Gameshow,#72B7ED,"['15:30', '15:45', '16:00', '16:15']"
Lunchtime!,8.5,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['11:00', '11:15', '11:30', '11:45']"
Going All Out with the Cast of Dandadan,9,"('Sheraton', 'Panel Republic')",Guest Content,#00FF00,"['15:30', '15:45', '16:00', '16:15']"
Beginner's Guide to Tokusatsu,9,"('Hynes', 'Panel 208')",Panel,#72B7ED,"['10:00', '10:15', '10:30', '10:45']"
Taiko Drum Concert,9.5,"('Sheraton', 'Grand Ballroom')",Concert,#AFE1F1,"['15:30', '15:45', '16:00', '16:15']"
Anime According to AMVs,9.5,"('Hynes', 'Fan Creations 312')",Gameshow,#72B7ED,"['14:45', '15:00', '15:15', '15:30']"
BLUE ENCOUNT Q&A,9.5,"('Sheraton', 'Panel Constitution A')",Panel,#72B7ED,"['11:30', '11:45', '12:00', '12:15']"
Comedy AMVs,10,"('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['12:15', '12:30', '12:45', '13:00']"
On Anime and AI: A Discussion with Hirokatsu Kihara,10,"('Sheraton', 'Grand Ballroom')",Guest Content,#00FF00,"['17:30', '17:45', '18:00', '18:15']"
AMV Contest,10,"('Hynes', 'Ballroom B')",Video,#66A3D2,"['09:30', '09:45', '10:00', '10:15', '10:30', '10:45', '11:00', '11:15', '11:30', '11:45']"
Jam Zone: Cocolia,???,"('Sheraton', 'Panel Republic')",Music,#CCFFFF,"['09:30', '09:45', '10:00', '10:15']"
Jam Zone: Violinist Prince,???,"('Sheraton', 'Panel Republic')",Music,#CCFFFF,"['11:30', '11:45', '12:00', '12:15']"
Jam Zone: Cometa,???,"('Sheraton', 'Panel Republic')",Music,#CCFFFF,"['13:30', '13:45', '14:00', '14:15']"
Yuriko Yamaguchi Q & A,???,"('Sheraton', 'Panel Constitution A')",Panel,#72B7ED,"['13:00', '13:15', '13:30', '13:45']"
Magic Knights at the Mic: Asta and Noelle of Black Clover English VA Q&A,???,"('Sheraton', 'Panel Constitution B')",Panel,#72B7ED,"['15:00', '15:15', '15:30', '15:45']"
Anime Fashion Crimes: Tokyo Drift,???,"('Hynes', 'Panel 309')",Panel,#72B7ED,"['16:30', '16:45', '17:00', '17:15']"
Anime Hero's Journey,???,"('Hynes', 'Panel 202')",Panel,#72B7ED,"['19:30', '19:45', '20:00', '20:15']"
Akira Kurosawa: The Director's Adaptations,???,"('Sheraton', 'Panel Constitution A')",Panel,#72B7ED,"['20:30', '20:45', '21:00', '21:15']"
The Female Gaze in Anime,???,"('Hynes', 'Panel 202')",Panel,#72B7ED,"['21:00', '21:15', '21:30', '21:45']"
"Cloak, Dagger, Kimono, Katana: Spycraft And Other Dirty Deeds In Animation",???,"('Sheraton', 'Panel Constitution B')",Partner Content,#FF69B4,"['10:30', '10:45', '11:00', '11:15']"
It's Okay to Make Bad Art — The Art of Sucking,???,"('Hynes', 'Panel 202')",Partner Content,#FF69B4,"['22:30', '22:45', '23:00', '23:15']"
K-Pop Random Dance Game,???,"('Hynes', 'Ballroom A')",Social Event,#F7931E,"['17:30', '17:45', '18:00', '18:15']"
Anime Unscripted,???,"('Sheraton', 'Grand Ballroom')",Stage Show,#AFE1F1,"['12:30', '12:45', '13:00', '13:15', '13:30', '13:45']"
The Wonderful World of Puss & Boots,???,"('Hynes', 'Video 210')",Video,#66A3D2,"['08:00', '08:15', '08:30', '08:45', '09:00', '09:15', '09:30', '09:45']"
Coming Attractions: AMV Trailers,???,"('Hynes', 'Fan Creations 312')",Video,#66A3D2,"['19:15', '19:30', '19:45']"
